Composite.Element.REF	TCGA-OR-A5J2-01	TCGA-PA-A5YG-01	TCGA-OR-A5JV-01	TCGA-OR-A5JT-01	TCGA-OR-A5JR-01	TCGA-OR-A5JP-01	TCGA-OR-A5J6-01	TCGA-OR-A5J8-01	TCGA-OR-A5J3-01	TCGA-OR-A5J9-01	TCGA-OR-A5J7-01	TCGA-OR-A5K1-01	TCGA-OR-A5JY-01	TCGA-OR-A5JS-01	TCGA-OR-A5K6-01	TCGA-OR-A5K8-01	TCGA-OR-A5K3-01	TCGA-OR-A5JA-01	TCGA-OR-A5K0-01	TCGA-OR-A5K5-01	TCGA-OR-A5K4-01	TCGA-OR-A5JW-01	TCGA-OR-A5KU-01	TCGA-OR-A5KO-01	TCGA-OR-A5LS-01	TCGA-OR-A5LT-01	TCGA-OR-A5LG-01	TCGA-OR-A5LN-01	TCGA-OR-A5LO-01	TCGA-OR-A5LP-01	TCGA-OR-A5LK-01	TCGA-OR-A5LJ-01	TCGA-OR-A5LD-01	TCGA-OR-A5LL-01	TCGA-OR-A5LM-01	TCGA-OR-A5KZ-01	TCGA-OR-A5KY-01	TCGA-OR-A5KX-01	TCGA-OR-A5KW-01	TCGA-OR-A5LH-01	TCGA-PK-A5H8-01	TCGA-PK-A5HA-01	TCGA-OU-A5PI-01	TCGA-OR-A5JZ-01	TCGA-PK-A5H9-01
ASNS|ASNS	2.7368	0.7704	-0.2264	-0.0951	-0.5519	0.8532	1.1873	2.6578	0.25	-1.4665	0.7834	0.3897	1.22	-1.1773	-0.0414	-0.2298	0.3245	0.3504	-1.8016	-0.8381	-1.3138	-1.4313	-0.1484	-0.1888	-0.0013	-1.0695	-0.3544	-0.6839	0.3809	0.8534	0.2011	1.2781	-1.0143	-0.9676	1.3907	0.2173	-0.158	-0.6021	0.1868	1.5131	-0.946	-0.6313	-0.3713	-0.2319	-1.0027
ATM|ATM	-0.0778	-1.2873	0.3615	-0.4533	-0.3256	-0.3777	0.0101	-0.1045	0.4177	-0.0452	-0.182	0.6411	-0.1996	-0.3778	0.5011	0.8253	-0.1196	-0.7477	0.4405	1.5457	-3.1564	-0.0893	-0.8246	0.5047	-0.5851	-2.9546	1.0372	0.3515	0.0067	-1.112	0.1606	-0.2577	1.7894	0.9537	-0.884	2.4719	0.6455	-0.0294	0.6274	-0.492	-0.2986	-0.3448	0.5234	-0.1555	1.6675
BAK1|Bak	0.6266	0.4892	0.1986	0.7288	-0.0472	-0.5653	1.2176	-2.2117	-1.5425	-0.2667	0.8113	-0.3417	0.2258	0.4642	-0.528	-0.0115	0.8389	-0.5671	-0.8882	-1.5434	2.1439	-1.1887	0.4578	-1.41	0.3542	-1.0071	0.2552	0.8547	-0.5972	1.0827	0.4902	0.4922	0.471	-1.848	-0.0427	2.6816	-0.8217	-0.0328	-0.9065	0.0799	0.4076	1.1117	-0.1571	1.2892	-1.2479
BAX|Bax	-0.6653	-0.4784	0.5445	-0.6193	0.1419	-0.2159	-0.6883	-1.5679	0.796	-0.396	-1.1801	-0.1026	-0.1253	1.4251	0.0366	0.1802	0.8489	-0.3733	0.0764	0.4082	-0.2677	-1.5018	-0.2567	-0.4603	-0.487	0.5881	-0.1657	-0.375	0.038	-0.1705	-0.8476	-0.7393	2.284	-3.0539	-0.0513	0.5484	-0.6862	0.8581	1.6747	-0.7737	2.6768	1.734	0.0089	0.9255	0.4547
BCL2|Bcl-2	0.3412	1.9762	1.4224	0.8233	0.4178	-0.6087	1.981	0.3512	-0.8903	0.2384	-0.4132	-0.1992	-0.176	-1.1545	0.2757	-0.2718	0.809	-0.6173	-0.8012	-1.9486	-0.3049	-0.8415	-1.0927	-2.2039	0.8436	-1.0136	0.2737	0.5967	-0.1224	1.5851	0.7499	-0.9707	0.2774	-1.2581	-0.2311	-0.1683	-0.8764	-0.1216	-1.1345	0.9747	-0.3509	0.2414	0.6297	0.2874	2.6758
BCL2L1|Bcl-xL	3.1193	-0.4708	-0.4329	-0.5983	0.0793	-0.7336	-2.6673	-0.8139	-1.9743	0.9545	-1.1399	0.2391	-0.3139	-0.4037	-0.1745	0.8834	0.1275	-0.04	0.1699	0.8983	1.005	1.5251	0.7986	0.14	-1.2657	-0.1272	0.0887	0.015	0.2292	0.4839	0.686	1.7913	-0.3077	-1.2296	-0.1432	-0.4598	-0.0852	-0.4082	-0.3772	-0.9718	0.8598	-1.1725	1.7848	0.2943	0.138
BECN1|Beclin	1.0862	1.512	1.0868	-0.5198	0.4428	-0.3544	1.0124	-2.0095	-0.34	1.428	-0.0993	-0.2039	-1.1685	-1.0684	-0.6561	-0.0213	0.4367	-0.6657	-1.0811	-0.8518	0.1006	-0.738	-1.0085	-0.7576	1.2915	0.1264	0.5518	0.0582	0.2876	1.3727	0.0745	-0.0391	1.89	-1.5543	0.6183	-1.2844	-0.8537	1.1606	-1.0365	3.0503	-0.2552	-0.3102	-0.1034	-0.0988	-0.508
CTNNB1|beta-Catenin	-0.4246	-1.2688	-1.468	-1.8914	-1.4237	0.3185	-0.9302	-0.7258	0.9492	1.1809	-0.3254	0.0264	1.4844	-1.1204	-0.7734	0.9437	-0.6375	0.3332	2.2931	1.0851	-0.8827	1.085	0.3689	1.5511	0.2759	0.2275	1.1455	-0.299	0.1896	-0.6334	-0.526	1.3852	0.4816	1.1262	0.055	-0.3582	0.5374	0.219	0.7453	-1.625	-0.9259	-1.7846	0.7746	-1.0499	0.2913
BID|Bid	0.9556	-2.0074	-0.8408	1.4272	-1.0556	0.3491	-1.6333	0.5099	-0.9301	0.7753	-0.8916	-0.7189	0.4008	-0.472	0.9027	-0.8411	-1.0442	-0.6736	-0.2715	1.0419	0.2196	-0.8686	2.2103	-0.4978	0.3326	-0.3364	-1.1131	-0.1075	0.5228	-1.2354	0.369	0.8645	2.033	-0.2199	-0.0881	2.2436	-0.9589	1.7377	-0.6573	0.0018	-0.6405	1.1762	0.2644	0.1863	-0.4203
BCL2L11|Bim	2.4599	-0.0231	3.1198	-0.8756	-0.0598	-1.2316	0.7698	-0.0779	-0.8372	0.3123	-0.1317	-1.309	-1.0654	0.3729	0.5808	-0.3712	1.045	0.455	-1.2663	-0.8223	-1.1755	-0.1305	1.5163	-1.0605	-0.5559	0.1611	0.4754	0.0637	-0.1438	0.2211	1.3798	1.4919	-0.3639	1.5074	-0.3702	-1.2835	-0.7697	0.3729	0.6204	0.2252	-0.8299	0.1841	-0.2377	-1.2279	-1.1146
JUN|c-Jun_pS73	-0.4048	0.431	-0.0611	-0.0254	-0.3081	0.1814	0.941	2.5111	0.4613	0.2361	0.2718	0.3592	-0.7167	-2.1573	-0.2547	0.9661	-0.1159	1.5721	-0.2245	-0.1895	-1.4732	0.038	0.7399	2.5893	-0.9204	0.6045	-0.3238	-0.7882	-1.0198	0.5879	-0.157	-0.5881	-0.1988	-1.9115	-0.7734	-0.8087	-0.5331	-1.0199	0.4516	-0.3175	-0.3424	1.6436	-0.6375	2.2175	-0.532
KIT|c-Kit	-0.2277	0.0422	0.6174	-0.5903	-0.8507	-0.8178	-0.162	-1.0757	1.4691	-0.1571	0.5104	-0.9732	0.1789	-0.8131	-0.6124	-0.6078	0.5126	-0.3199	2.0466	-0.2091	-0.5301	-0.4129	-0.0788	0.5225	1.7039	-0.8384	0.539	-0.7554	-0.4699	-0.5875	-0.0875	-0.7652	-0.7092	-0.3006	2.0174	4.2511	-0.4614	0.1123	1.2142	-0.2426	-0.8392	-0.5118	0.135	-0.377	-0.4883
MET|c-Met_pY1235	0.9108	-0.4027	-0.0924	1.2549	-0.0516	-0.9318	-1.9354	-1.9388	-1.1453	0.7561	-1.0229	-0.6303	-0.472	1.2231	0.9297	0.1252	0.0342	-1.3751	0.0892	-0.1371	2.7029	-0.28	0.0261	-0.4719	0.4616	-0.2381	-0.8473	0.1888	0.6916	1.2156	0.17	0.7839	1.0692	-1.6302	-0.2937	2.3394	-0.3266	0.6119	-0.0382	0.8286	-0.0762	0.3889	-0.4451	0.0037	-2.0226
MYC|c-Myc	0.6999	1.7087	1.663	1.1289	-0.0619	-0.0384	1.3662	0.0351	-1.0817	0.7498	0.4606	0.6039	-0.0176	-0.4093	-0.1428	-0.2442	1.5976	-1.7104	0.3022	-1.3998	0.8143	-1.2829	-0.3172	-1.8438	-0.0983	-0.9186	0.176	-0.2382	-0.1381	2.3875	-0.0058	0.2362	2.187	-1.7736	-0.8084	-0.327	-0.9761	-0.855	-0.5735	-0.2174	-0.0967	0.1914	-1.3913	0.0871	0.5724
RAF1|C-Raf	1.2835	-1.8591	-0.3708	0.276	-0.6144	-0.5943	-2.0777	0.4622	0.1193	0.1767	-0.4824	-1.9044	-0.1553	0.5811	1.1515	-1.6111	-0.8025	-0.3909	1.9149	1.1179	0.661	-0.217	-0.0142	1.2465	0.598	0.2324	-0.8383	-0.5916	1.3026	-0.5602	0.7172	0.1294	-1.6158	-0.5789	1.0037	2.9084	0.3627	-0.0228	0.1215	-0.8284	-0.5542	0.8967	-0.1239	-0.2281	-0.2273
RAF1|C-Raf_pS338	1.3007	-0.2297	0.3809	2.6219	-0.3979	-0.6338	-0.3606	3.0182	-1.0149	0.9751	-0.8879	-0.6144	0.7028	-0.0674	0.4719	-0.3377	-0.3038	-0.3803	-0.3298	0.4392	0.2972	-0.7662	2.1428	-0.7828	0.0616	-1.4092	-0.0849	0.6391	0.6585	0.6465	0.1939	-0.3562	0.3618	-2.3619	-0.1611	0.0551	-1.7236	-0.2039	-0.2234	0.8163	-0.8849	0.7124	-0.538	-0.2065	-1.2351
CASP7|Caspase-7_cleavedD198	0.8197	0.2853	-0.0731	1.3835	-0.4262	-0.4212	0.9676	1.1163	-0.984	0.3958	-0.319	-0.8033	1.7509	-0.6407	-0.4922	-0.4413	-0.644	-1.1201	-1.1583	-0.0302	-0.8938	-1.5698	1.6085	-1.774	0.0145	-0.8781	-0.3816	0.6143	-0.061	0.3314	0.4679	2.0885	1.8367	-1.8361	-0.1336	2.0417	-1.4261	1.206	-0.8595	0.3443	-0.5626	0.2202	-0.0942	0.5903	-0.0596
CAV1|Caveolin-1	1.5306	-0.6867	-1.1002	0.3966	-0.7718	-0.1128	0.3101	0.398	-1.0457	1.3162	0.8766	-1.2371	-0.0936	-0.9517	1.0031	-0.5046	-0.6837	0.081	-2.1436	-0.0643	0.8843	1.2546	-0.0693	-0.1776	1.0278	-2.1785	0.1263	0.6656	0.1974	-0.1929	0.5826	1.0785	-0.1602	-0.4677	-1.6199	-1.0832	-0.2954	1.2075	0.1422	-1.4945	0.403	1.1672	2.4653	-0.9659	0.9866
PECAM1|CD31	0.978	2.3422	1.3761	0.192	0.6203	-0.0063	2.4564	-2.2457	-0.7626	0.4041	-0.2749	0.5373	0.1876	-0.7438	-0.2529	0.1895	1.0277	-0.5934	-1.2866	-1.087	-0.0799	-0.6731	-1.0655	-1.5498	0.7083	-0.9746	0.7135	0.4421	0.2753	1.7891	0.3191	-0.9944	-0.2546	-1.5484	-0.2455	-1.5588	-0.8561	-0.1805	-0.6785	1.0971	0.2227	0.7279	0.2164	0.5304	0.5596
ITGA2|CD49b	0.3836	0.7009	0.2464	0.2371	-0.1118	-0.9334	0.0762	-2.5129	0.0395	-0.7093	0.0125	-0.5816	2.3146	1.3529	1.5333	-0.6382	-0.6109	-0.5088	-0.4939	-0.4084	-0.3943	1.1142	0.1992	-1.2344	0.7005	-0.6155	0.3578	-0.2856	-0.1681	0.1452	-0.2826	2.6029	-0.5663	2.4743	-0.1488	-0.2629	-0.2433	-1.4065	-1.3771	0.2328	-0.1652	-0.8009	1.2297	0.602	-1.0949
CDK1|CDK1	0.7152	2.0889	1.8486	0.5169	-0.0289	0.3166	3.1037	-0.9873	-0.8932	-0.2315	0.4838	-0.1152	0.0447	-1.4874	-0.6311	0.1067	0.5077	-0.3819	-0.7853	-1.5685	-0.3985	-1.34	-0.8029	0.5432	0.4148	-1.2982	0.7678	-0.3999	-0.1287	1.9226	-0.3501	0.3203	1.6673	-1.7764	-0.6741	-0.0263	-0.3321	-0.3661	-0.7629	0.7216	-0.1322	0.0679	-1.0042	0.2249	0.5199
CHEK1|Chk1	0.0239	1.7578	0.7506	-0.18	0.2087	0.2481	2.1365	0.2359	-1.4479	-0.3043	0.0787	0.1319	0.2132	-0.6901	-1.4695	-0.0828	0.5162	-0.2458	-1.5975	-0.0331	0.4169	-1.006	-1.9433	0.3327	0.0299	-0.5338	0.5776	-0.5576	-0.164	1.5935	-0.3074	0.0471	1.9102	-1.9474	-0.1846	3.1693	-0.3301	0.2544	-0.8	0.5381	0.0784	0.0871	-1.0799	0.1346	-0.5657
CHEK1|Chk1_pS345	-1.5828	0.4492	1.0541	1.7302	0.986	-0.076	0.9855	-2.4439	-0.5965	-0.3028	-0.3475	1.3814	-0.9699	-1.8726	-0.6379	1.28	1.279	0.6646	-1.2197	-0.5641	-0.3908	1.2826	-0.491	0.2388	-1.0861	0.9241	0.6696	-0.0517	-1.4305	0.5805	0.3082	1.0772	-1.0213	-1.4368	1.0871	0.5483	0.1483	-0.7012	-0.173	0.6111	0.788	1.2771	-0.9117	-0.3472	-0.696
CHEK2|Chk2	-0.8054	1.3002	0.912	1.812	-0.0354	0.2244	-0.2645	-0.7988	0.1669	-1.2816	-0.7487	1.2352	-1.1578	-0.2244	0.18	-0.1097	0.1949	0.9421	-0.3882	0.2568	-0.2472	-1.3208	-1.5685	0.4453	-0.8408	-0.5677	0.043	-0.9476	0.1006	0.0732	-0.2074	1.2426	0.4585	-2.3381	-0.8318	3.1458	1.3782	0.8592	0.0412	1.0862	-0.1229	-0.2824	-1.0072	1.0631	-1.0645
CHEK2|Chk2_pT68	0.6315	1.4191	0.5782	0.8538	-0.0986	-0.4763	2.1576	0.8492	-0.3625	0.0807	-0.6263	-0.225	-0.1373	-0.941	-1.0788	-0.519	0.18	-0.3047	-0.895	-1.2641	-0.4495	-1.0955	0.3372	-1.088	0.6983	-0.5194	-0.2124	-0.1083	0.2182	1.1308	0.3652	1.9945	0.2228	-3.4129	0.0431	2.2489	-0.7172	0.6188	-1.2552	1.113	-0.384	0.8591	-0.2125	0.1091	-0.3257
BIRC2 |cIAP	0.0547	-0.2275	1.2568	1.3106	1.7126	-0.2534	-0.9051	-1.8443	-1.0867	-0.363	-0.4497	0.816	-1.7143	-1.7253	-0.9926	0.4743	1.4251	-0.2576	-0.1617	-0.8882	1.8203	-0.6283	-1.3648	-0.3719	0.7248	0.0939	-0.625	0.2533	-0.1008	2.5657	0.8878	-0.1326	0.123	-1.1307	0.4811	-0.628	-0.1117	-1.2019	-0.761	0.4386	1.0053	1.376	0.1034	1.0254	-0.0228
CLDN7|Claudin-7	-0.1017	1.533	0.7451	0.1713	0.4359	0.0424	2.1916	-2.9124	-0.7543	0.7928	0.1728	-0.4631	-0.1451	-0.2826	0.4148	0.9695	-0.1172	0.1152	-1.5865	0.6439	1.3929	-0.2726	-0.9097	0.9932	0.2318	-0.8993	0.2489	-0.2542	-0.5049	1.7552	0.1882	-0.1263	0.7961	-1.5984	-1.0997	-1.8957	-0.415	-0.001	0.4881	1.4602	0.1645	1.0155	-1.6294	-0.5949	-0.3988
COL6A1|Collagen_VI	0.468	-1.9479	1.3966	3.5245	-0.0155	-1.7281	-1.1031	1.1119	0.2415	-0.4165	0.05	-1.4958	1.6043	0.8934	0.3066	-0.6363	0.6684	-0.3974	-1.1798	0.3444	0.488	-1.2934	0.8194	0.1575	0.65	-1.3843	-0.0499	-0.913	-0.3501	-1.2302	0.153	-0.3566	0.4773	0.4105	0.8919	-0.3121	-0.2733	-0.2261	0.1766	0.1543	-0.0931	-0.2768	1.1768	0.7791	-1.265
CCNB1|Cyclin_B1	0.1878	-0.225	-0.5122	-1.146	-0.4783	0.5212	0.0363	0.43	-0.6113	-0.8495	0.4274	-0.4656	0.4201	0.6189	-0.8923	0.039	-0.188	1.3073	0.0444	0.2808	0.1336	-1.1165	-1.4587	3.6077	-0.1488	0.0606	-0.0565	-0.8973	0.4245	-0.1905	-0.7203	2.0064	1.7475	-1.532	0.3752	2.5045	0.7717	-1.0388	0.0032	-0.5504	-0.3373	-0.2698	-0.3238	-0.9054	-1.034
CCND1|Cyclin_D1	0.5211	-0.4665	-1.1117	0.938	0.164	-0.386	-0.4914	0.5574	-0.8007	-0.5548	0.0516	-0.0096	3.6966	1.2341	0.2072	-0.5344	-0.987	-1.1229	0.5199	0.3221	-0.3384	-1.2316	1.2585	-0.2924	-0.4074	-0.0369	-0.272	0.3648	-0.0754	-0.1849	1.3473	0.8081	-0.07	-0.5414	-0.9307	-0.0252	-0.8216	1.0436	-0.708	0.3149	0.0443	0.2439	-3.051	-0.0577	1.8718
CCNE1|Cyclin_E1	-0.8004	-1.5591	0.4084	-1.5906	-0.9474	0.598	-0.853	-1.7221	-0.4396	0.8984	0.4211	0.0737	-0.3708	1.1915	-0.6708	0.4475	0.6928	1.4584	0.0136	0.4977	1.9836	-0.6294	-0.2768	0.8108	-0.0717	-0.1647	-0.6274	-1.5289	1.7323	-1.148	-1.2192	0.3226	1.282	-1.6544	0.9068	0.5659	0.9316	1.1545	-0.3973	-0.8295	1.9494	-1.0151	-0.4749	0.8066	-0.1558
PARK7|DJ-1	-0.8728	-0.3775	-0.8652	-0.3474	-0.8137	0.0221	0.7502	-2.3348	0.6412	-1.0757	-0.1042	0.5261	-1.3189	1.514	-0.0287	-0.3639	0.511	0.1988	1.4113	-0.9521	2.4615	-0.0944	-1.2726	-0.2595	0.1762	-0.8606	0.6292	-0.0102	0.1833	1.1408	-0.7002	-0.034	0.404	2.9967	0.8359	-0.8176	1.2171	-1.591	0.3544	0.1339	0.2571	-1.2942	-0.3298	0.2102	0.1439
DVL3|Dvl3	0.3463	-0.1509	-0.226	-1.4459	-1.1102	1.328	-0.4325	-0.1002	-0.2372	1.1686	0.6087	-1.6952	0.7931	-1.8669	-0.601	-0.2904	-0.3731	0.0948	0.2937	1.3181	-1.7701	-0.45	-0.5158	1.3489	0.995	-0.8981	0.5001	-0.6678	1.4174	0.4908	-0.3099	1.9211	2.6122	-1.3866	0.6416	0.2011	0.8559	0.6427	-0.3815	-0.4834	-0.1941	-0.3604	0.6439	-1.6276	-0.6474
CDH1|E-Cadherin	0.2353	2.2954	0.3274	-0.235	0.542	0.5481	2.356	-1.7489	-0.6534	-0.5416	-0.1203	0.7081	-0.4905	-1.214	-0.846	0.4874	0.7875	-0.4006	-0.9571	-1.1806	-0.32	-0.3351	-1.0873	-1.209	0.2276	-0.27	0.9998	0.3363	0.1364	1.8382	0.3597	-0.7004	-0.3099	-0.8752	-0.3485	-1.0374	-0.5122	0.1875	-1.032	0.7125	0.2361	0.8996	-0.8224	-0.0918	3.1181
EEF2|eEF2	-0.432	-1.2634	-0.7457	-1.8701	-0.7424	1.6583	-1.6344	-1.4076	0.285	0.4791	-0.0402	-0.5499	-0.6039	1.1391	-0.1643	0.7469	0.3088	0.4024	-0.2246	2.4042	0.7524	-0.4409	-0.9262	0.526	-0.1726	0.1442	0.1768	-0.7092	0.7389	-0.2135	-0.8904	1.0096	0.8633	-0.7457	0.6786	2.3003	0.5497	-1.4099	1.4899	-0.2209	1.6778	-0.1989	-1.3148	-1.0109	-0.3991
